id,created_at,reference,power_real,power_counter,power_real_temp,pac_sum,pac_sum_counter,pac_sum_temp,total_energy,co2factor,update_at,day_energy
269,2022-03-14 17:00:00,comfenalco1,3577.03,1,19962,459,"0","0",28323200,4655760,2022-03-14 17:59:53,294630
270,2022-03-14 18:00:00,takurika1,330.602,1,29.922,"0","0","0",11949800,1964300,2022-03-14 18:59:52,104830
271,2022-03-14 18:00:00,comfenalco1,3993.66,1,3787.6,"0","0","0",28323200,4655770,2022-03-14 18:59:52,294680
272,2022-03-14 18:00:00,edlv,5770.26,1,3021.37,"0","0","0","0","0",2022-03-14 18:59:02,
273,2022-03-14 19:00:00,takurika1,331.054,1,330.845,"0","0","0",11949800,1964300,2022-03-14 19:59:51,104830
274,2022-03-14 19:00:00,comfenalco1,4122.73,1,6017.35,"0","0","0",28323200,4655770,2022-03-14 19:59:52,294680
275,2022-03-14 19:00:00,edlv,4114.73,1,4931.71,"0","0","0","0","0",2022-03-14 19:59:02,
276,2022-03-14 20:00:00,takurika1,449.821,1,330.957,"0","0","0",11949800,1964300,2022-03-14 20:59:51,104830
277,2022-03-14 20:00:00,comfenalco1,4027.02,1,4051.92,"0","0","0",28323200,4655770,2022-03-14 20:59:53,294680
278,2022-03-14 20:00:00,edlv,4279.72,1,4115.73,"0","0","0","0","0",2022-03-14 20:59:02,
279,2022-03-14 21:00:00,takurika1,453.535,1,450.868,"0","0","0",11949800,1964300,2022-03-14 21:59:51,104830
280,2022-03-14 21:00:00,comfenalco1,3938.8,1,4023.97,"0","0","0",28323200,4655770,2022-03-14 21:59:52,294680
281,2022-03-14 21:00:00,edlv,4260.89,1,4272.58,"0","0","0","0","0",2022-03-14 21:59:02,
282,2022-03-14 22:00:00,takurika1,330.051,1,453.337,"0","0","0",11949800,1964300,2022-03-14 22:59:51,104830
283,2022-03-14 22:00:00,comfenalco1,5902.54,1,3926.92,"0","0","0",28323200,4655770,2022-03-14 22:59:52,294680
284,2022-03-14 22:00:00,edlv,3621.45,1,4261.37,"0","0","0","0","0",2022-03-14 22:59:02,
285,2022-03-14 23:00:00,takurika1,331.011,1,330.78,"0","0","0",11949800,1964300,2022-03-14 23:59:51,104830
286,2022-03-14 23:00:00,comfenalco1,3946.36,1,5829.4,"0","0","0",28323200,4655770,2022-03-14 23:59:52,294680
